	log_likelihood
600	15880.326
601	15971.744
602	15810.047
603	16218.795
604	16257.758
605	16168.611
606	15912.281
607	15843.729
608	15650.659
609	16563.275
610	15789.003
611	16096.269
612	15748.541
613	16333.573
614	16091.203
615	16017.9795
616	16162.737
617	16335.667
618	15794.76
619	16279.99
620	15868.74
621	15192.927
622	16208.002
623	16245.486
624	16515.164
625	16244.38
626	16130.479
627	15909.458
628	16042.932
629	16284.01
630	15970.786
631	16418.05
632	15917.487
633	16709.408
634	16462.574
635	15316.69
636	15693.216
637	15350.784
638	15999.878
639	15981.55
640	15976.357
641	16164.216
642	16493.77
643	16496.928
644	16154.097
645	15611.239
646	15676.602
647	16514.465
648	15889.573
649	15926.242
650	16144.198
651	16072.596
652	16178.791
653	16121.231
654	15226.497
655	16241.533
656	16140.857
657	16170.9
658	16322.394
659	16354.138
660	16044.323
661	15728.664
662	15851.791
663	15735.6
664	16264.833
665	15968.584
666	16189.682
667	16425.574
668	15704.508
669	15883.953
670	16006.831
671	16472.713
672	16071.224
673	15762.544
674	16504.219
675	16146.357
676	16128.933
677	16177.428
678	16103.342
679	15936.456
680	16504.715
681	16430.23
682	16270.737
683	16435.604
684	14091.533
685	15876.192
686	16103.042
687	16161.412
688	15448.678
689	15671.561
690	15947.284
691	16417.137
692	16418.816
693	15986.427
694	16023.247
695	15951.023
696	16003.042
697	15740.122
698	15934.295
699	16243.0205
700	16097.216
701	16073.3955
702	16087.192
703	15836.839
704	16221.9795
705	16388.172
706	16268.578
707	16342.0205
708	16454.58
709	16276.469
710	15919.658
711	16475.166
712	15488.016
713	16509.383
714	15305.475
715	15684.177
716	16228.808
717	16284.789
718	16063.308
719	15893.119
720	15727.974
721	16428.06
722	16030.361
723	16072.697
724	16070.7
725	16242.12
726	15780.881
727	16444.979
728	15933.133
729	16077.091
730	16421.39
731	16372.447
732	16350.807
733	16241.109
734	15933.769
735	16430.281
736	15447.3
737	15947.619
738	15852.102
739	16502.965
740	16318.034
741	16298.061
742	16392.934
743	15045.7
744	16255.778
745	16158.839
746	16235.24
747	16016.361
748	16176.51
749	16339.917
750	15742.947
751	15064.125
752	16445.766
753	15676.839
754	16501.965
755	16291.651
756	16326.162
757	16220.531
758	15984.042
759	16048.344
760	15847.13
761	16449.791
762	16028.443
763	16305.693
764	16270.883
765	16207.919
766	16095.242
767	16220.042
768	16102.683
769	16135.639
770	16122.622
771	16367.489
772	16240.935
773	16646.797
774	16395.854
775	15779.479
776	16111.088
777	16121.396
778	16108.057
779	15908.122
780	15897.236
781	16253.519
782	16283.49
783	15175.349
784	16168.475
785	16601.793
786	16429.426
787	15257.519
788	16145.92
789	16212.146
790	16050.381
791	16180.859
792	16335.294
793	15336.031
794	15600.885
795	16164.023
796	15636.678
797	14577.003
798	15058.318
799	14183.646
800	14949.63
801	14111.9795
802	15071.572
803	14811.846
804	15023.701
805	15113.606
806	15080.403
807	15030.338
808	14944.584
809	15009.711
810	15106.531
811	14906.95
812	15102.279
813	15062.028
814	13957.185
815	15048.8955
816	14942.943
817	14590.061
818	15017.3125
819	14974.092
820	15170.838
821	14886.606
822	15212.034
823	15069.44
824	14975.153
825	14969.292
826	15138.409
827	14557.219
828	14850.917
829	15023.979
830	15098.533
831	14911.597
832	15108.104
833	14901.721
834	14889.161
835	14935.693
836	14670.494
837	15169.561
838	15172.948
839	14689.721
840	15102.141
841	15152.169
842	14979.865
843	15035.732
844	14860.123
845	14980.797
846	15055.557
847	15118.322
848	14926.303
849	14927.456
850	14846.998
851	14923.49
852	14797.333
853	14965.261
854	14248.568
855	14984.81
856	14951.19
857	14913.503
858	15093.7705
859	12509.023
860	13552.856
861	14728.864
862	15047.013
863	14751.447
864	15089.787
865	14905.847
866	14993.205
867	15143.677
868	15088.731
869	15056.581
870	14229.609
871	15076.4
872	14702.677
873	15039.557
874	15126.303
875	15024.653
876	14941.614
877	14846.389
878	15193.752
879	14947.326
880	15093.935
881	14910.342
882	14958.891
883	13656.427
884	15047.753
885	14929.127
886	15063.289
887	14909.377
888	15046.669
889	15091.305
890	14981.089
891	14931.393
892	14889.773
893	14976.394
894	15065.346
895	14953.744
896	14476.0625
897	14720.807
898	14845.385
899	14875.089
900	15011.536
901	15274.175
902	15141.097
903	14768.372
904	14665.792
905	15120.092
906	15041.328
907	14202.859
908	14868.682
909	14973.852
910	15171.856
911	14842.875
912	14704.494
913	15004.572
914	15118.269
915	14272.9375
916	15098.732
917	15007.088
918	15099.987
919	15141.222
920	15036.533
921	14997.984
922	14862.393
923	15026.764
924	15139.869
925	15102.8125
926	14346.599
927	13281.557
928	14900.537
929	15037.997
930	14959.459
931	14934.792
932	14763.269
933	15180.0625
934	14813.4
935	15130.209
936	14946.409
