	z_coordinate_0	z_coordinate_1
368	-1.9699442	-4.1152368
369	-2.290009	-3.7019155
370	-2.341548	-4.089238
371	-2.4142673	-3.3648562
372	-2.4760766	-4.3704305
373	-1.6136395	-4.013986
374	-1.0016222	-3.9393604
375	-1.4231061	-4.48476
376	-2.1206975	-3.783272
377	-1.4595716	-3.9939253
378	-2.2148602	-4.3422923
379	-2.3541608	-4.7857637
380	-2.3962011	-3.5667677
381	-1.8160405	-4.3412523
382	-2.4957209	-4.5220437
383	-2.0126333	-3.812112
384	-2.3049922	-3.174925
385	-2.3132195	-2.9742563
386	-2.1848307	-3.538263
387	-1.7992768	-4.258144
388	-2.1854312	-3.9979904
389	-0.8203892	-3.4713163
390	-2.2849584	-3.6290996
391	-2.4295716	-4.4221244
392	-1.8868793	-4.142998
393	-2.1716793	-4.324881
394	-2.1827233	-4.0834904
395	-2.4006672	-4.6393533
396	-2.1815605	-4.4417415
397	-2.3874216	-4.286336
398	-2.802947	-4.920176
399	-2.557135	-4.0274754
400	-2.5257802	-4.040462
401	-2.3103027	-4.088849
402	-1.7324375	-4.5152955
403	-2.2263224	-3.0713675
404	-0.71294844	-2.9051712
405	-1.9279475	-3.6671963
406	-2.2499485	-4.4596705
407	-1.6817641	-3.6670494
408	-2.0022874	-4.5164447
409	-2.1494148	-3.914407
410	-2.1272545	-3.9502475
411	-2.5934405	-4.2540755
412	-2.3728046	-3.6384995
413	-2.153018	-3.7730646
414	-2.3557544	-3.3400648
415	-2.1865287	-3.3689008
416	-2.1973639	-3.6173694
417	-1.5614165	-4.587321
418	-2.3351068	-3.142891
419	-2.30014	-3.5311787
420	-2.4674807	-3.4199755
421	-3.048781	-4.601431
422	-2.0045466	-3.702392
423	-2.1697962	-4.483647
424	-2.1400018	-4.2999873
425	-2.2759194	-4.138306
426	-2.18309	-3.8875067
427	-2.222189	-3.6285424
428	-2.1690667	-4.6209044
429	-2.4704542	-4.0022964
430	-2.5535502	-4.8189597
431	-1.3885293	-4.1665125
432	-2.309939	-3.234421
433	-1.8693299	-4.486303
434	-2.1266143	-4.3336873
435	-1.4133558	-3.7915056
436	-2.1127863	-4.4465957
437	-1.5216037	-3.2189703
438	-1.7084396	-4.1884828
439	-2.5024934	-3.6206956
440	-2.2356622	-3.2217076
441	-2.2224185	-3.6162598
442	-3.6976633	-3.7927406
443	-2.7634726	-2.6201994
444	-3.1473641	-2.7460234
445	-2.182008	-2.7879243
446	-2.703418	-3.5020454
447	-5.041043	-3.5133789
448	-4.668934	-3.86364
449	-3.692767	-2.3786123
450	-3.942812	-4.3549895
451	-2.033063	-2.1907299
452	-5.178057	-3.9631784
453	-3.0078359	-3.154694
454	-4.849841	-3.7641513
455	-3.9699183	-1.4261795
456	-2.773017	-2.6261814
457	-3.2755153	-3.9346282
458	-4.193918	-3.6293986
459	-2.712716	-2.329002
460	-3.2060475	-2.7263637
461	-4.540602	-3.504627
462	-4.972331	-4.0182834
463	-4.5173907	-3.8916824
464	-3.238995	-2.6711724
465	-3.9376564	-3.1837294
466	-3.4219213	-2.2327363
467	-4.5505695	-4.089894
468	-1.6826172	-1.7099668
469	-2.744605	-2.4025366
470	-3.8573654	-2.197786
471	-3.1462417	-2.4076836
472	-4.450285	-3.672012
473	-4.1046877	-3.836715
474	-2.97538	-2.5602543
475	-4.550422	-3.4891894
476	-3.3925385	-3.1402705
477	-3.366151	-2.9780953
478	-2.6203399	-2.6285121
479	-3.0434394	-2.381451
480	-3.9906368	-3.0254505
481	-4.030831	-3.422537
482	-4.7619867	-3.3956878
483	-4.1336145	-3.0606163
484	-3.647254	-3.9413974
485	-4.183448	-3.976586
486	-3.773534	-2.404609
487	-3.322194	-2.8346756
488	-4.379779	-3.667007
489	-4.8935013	-3.4436882
490	-4.146369	-3.9834878
491	-2.9524188	-2.762397
492	-4.3648148	-3.7958324
493	-3.1901174	-2.7397196
494	-4.03393	-3.9933164
495	-3.5407777	-3.3952754
496	-3.5740323	-2.813749
497	-2.719077	-2.774927
498	-4.014721	-3.6034806
499	-4.4061394	-3.764348
500	-4.15222	-3.269433
501	-4.4696426	-3.7667494
502	-4.9210863	-3.342075
503	-3.0351157	-2.502627
504	-3.2572918	-2.1822836
505	-3.310319	-2.2171216
506	-2.5262966	-1.866314
507	-4.2375574	-4.018642
508	-4.282942	-3.7041757
509	-3.1711547	-2.6274898
510	-5.2149734	-3.587786
511	-2.7211046	-3.23904
512	-2.8908987	-2.324882
513	-3.9150329	-2.6853669
514	-2.5871637	-2.6106424
515	-4.2157536	-3.9184253
516	-2.8457372	-2.0753386
517	-3.4960256	-2.4200857
518	-4.55054	-3.8641007
519	-4.5943766	-3.9345205
520	-4.0631585	-2.9908144
521	-3.0173051	-3.5747888
522	-3.8300722	-3.5579782
523	-4.3177986	-3.2213995
524	-3.1501892	-3.621884
525	-3.9868336	-3.590678
526	-4.9713435	-3.5513198
527	-4.6821384	-3.51672
528	-3.3017824	-2.768254
529	-5.530339	-2.7986755
530	-4.640353	-3.8170054
531	-3.3814166	-2.4051769
532	-3.4175487	-2.7659953
533	-4.7421675	-2.3317733
534	-2.36165	-3.6919343
535	-4.3485403	-3.693239
536	-4.29925	-3.6763089
537	-4.329544	-3.6425745
538	-2.7393909	-2.285193
539	-3.7153144	-3.6538553
540	-4.3914804	-3.7933233
541	-4.9223127	-3.579477
542	-3.2458582	-2.1931012
543	-3.9122891	-3.0568182
544	-3.5807853	-2.5468802
545	-3.3864608	-2.1226912
546	-3.5344167	-2.0520053
547	-5.164928	-3.4451902
548	-3.8510313	-3.3010452
549	-4.561327	-2.8249886
550	-3.941104	-2.6566188
551	-4.425795	-3.7299802
552	-3.5817928	-2.4698403
553	-4.944181	-3.8581169
554	-3.3618143	-1.6766026
555	-4.2576017	-3.6894648
556	-4.416047	-3.9358604
557	-2.9575155	-3.5201814
558	-4.395835	-2.5680902
559	-3.4359193	-3.6989543
560	-4.0587335	-2.50073
561	-3.8827815	-2.9935095
562	-3.0939207	-2.6831107
563	-4.5690756	-3.9859498
564	-3.6011791	-2.37419
565	-4.2954645	-3.0815966
566	-2.936307	-3.7399611
567	-4.688242	-3.2384002
568	-3.4232717	-3.2641432
569	-3.5461097	-2.3618143
570	-4.681139	-3.1944792
571	-4.8688993	-3.5466547
572	-5.430873	-3.9287164
573	-4.58088	-3.5207243
574	-3.253614	-3.5617058
575	-3.5687835	-2.5240505
576	-4.0510783	-3.7345033
577	-3.2419238	-3.421858
578	-4.7507677	-3.8268294
579	-3.3137934	-2.1494737
580	-4.4253273	-3.8021324
581	-3.489315	-1.5851886
582	-3.4824133	-2.1602283
583	-4.281223	-3.2675226
584	-4.78106	-3.6887982
585	-3.965722	-2.4638145
586	-3.7561076	-3.304274
587	-4.3657475	-3.6836197
588	-4.5615444	-3.7780464
589	-2.625654	-3.0108478
590	-5.164171	-3.5966737
591	-3.4595935	-2.1021793
592	-2.750523	-1.9948949
593	-3.321767	-2.3886015
594	-4.4383583	-3.5966773
595	-4.4599056	-2.79375
596	-3.5226884	-2.3049042
597	-3.917567	-2.7386634
598	-4.0106535	-3.4652584
599	-3.9212866	-3.1017148
600	-2.8247004	-2.4205792
