	log_likelihood
904	30561.588
905	30314.645
906	30281.488
907	30011.406
908	29911.822
909	30172.281
910	30614.496
911	30069.332
912	30404.062
913	30384.453
914	30202.281
915	30192.037
916	30468.137
917	30329.02
918	30319.879
919	30428.818
920	30567.412
921	30207.895
922	29466.078
923	30319.76
924	30248.95
925	30282.355
926	29648.36
927	30198.49
928	30004.115
929	30353.86
930	30259.85
931	30046.63
932	30037.887
933	30680.621
934	30339.762
935	30267.016
936	29961.709
937	30187.6
938	30114.64
939	30307.209
940	30501.2
941	30324.473
942	29995.77
943	29771.223
944	30756.371
945	30925.803
946	29972.734
947	30720.479
948	30642.703
949	30348.494
950	30397.025
951	30188.312
952	30298.496
953	30105.61
954	30456.543
955	30496.084
956	30466.521
957	30509.068
958	30411.145
959	29962.652
960	30261.395
961	30443.973
962	30756.006
963	30218.557
964	30117.668
965	30505.25
966	30249.994
967	30365.307
968	30151.896
969	30853.963
970	30720.744
971	30339.697
972	30275.605
973	30209.535
974	29849.594
975	30287.568
976	30488.621
977	30376.043
978	30666.95
979	29897.184
980	31227.395
981	30358.809
982	30430.807
983	29928.416
984	30533.348
985	31003.668
986	30112.715
987	30255.543
988	30136.49
989	29979.744
990	29977.074
991	30076.588
992	30508.574
993	30608.156
994	29921.09
995	30708.2
996	30661.062
997	30147.2
998	30148.512
999	30917.441
1000	30724.547
1001	30064.662
1002	30076.432
1003	30429.725
1004	30683.854
1005	30164.041
1006	30018.818
1007	30220.746
1008	29988.496
1009	30210.855
1010	30047.363
1011	30668.434
1012	30213.447
1013	30515.432
1014	31072.766
1015	30189.059
1016	29892.916
1017	30239.975
1018	30842.895
1019	29872.145
1020	29989.77
1021	31087.754
1022	30345.068
1023	30194.693
1024	30373.879
1025	30394.906
1026	29923.785
1027	30389.531
1028	30522.725
1029	30624.395
1030	30432.729
1031	30685.428
1032	29771.324
1033	30425.688
1034	30130.574
1035	30322.406
1036	30103.379
1037	30097.318
1038	30391.64
1039	30840.15
1040	30499.156
1041	30499.865
1042	30206.9
1043	30355.25
1044	30386.646
1045	29736.582
1046	30277.05
1047	29579.738
1048	30221.473
1049	30121.453
1050	30676.975
1051	30298.488
1052	30289.557
1053	30576.307
1054	30513.52
1055	29995.223
1056	30381.59
1057	30154.934
1058	30289.004
1059	30416.168
1060	30719.213
1061	30876.152
1062	30630.11
1063	31038.719
1064	30315.95
1065	30045.354
1066	30395.281
1067	30139.225
1068	30312.912
1069	30496.832
1070	30075.756
1071	30371.078
1072	30768.281
1073	30254.516
1074	30543.016
1075	30347.027
1076	30260.428
1077	30397.51
1078	30097.676
1079	29906.73
1080	30620.902
1081	30029.537
1082	30767.574
1083	30058.656
1084	30160.121
1085	30310.656
1086	30166.375
1087	30064.475
1088	30068.637
1089	29831.887
1090	30472.777
1091	29868.512
1092	30711.129
1093	30763.756
1094	30511.875
1095	29995.662
1096	30501.693
1097	30487.188
1098	29881.266
1099	29894.61
1100	30942.338
1101	29819.77
1102	30525.91
1103	30798.645
1104	30238.332
1105	29950.531
1106	30603.23
1107	30526.256
1108	30561.55
1109	30609.412
1110	30552.254
1111	30685.668
1112	30143.506
1113	30408.512
1114	30409.738
1115	30626.25
1116	30856.213
1117	29976.688
1118	30635.027
1119	30286.5
1120	30383.355
1121	30478.75
1122	30187.084
1123	29895.215
1124	30499.635
1125	30637.678
1126	30644.406
1127	30892.652
1128	30802.926
1129	30343.61
1130	30327.307
1131	30547.61
1132	30016.887
1133	30106.98
1134	30765.24
1135	30180.004
1136	29994.488
1137	30338.059
1138	30010.578
1139	30132.77
1140	30780.412
1141	30564.12
1142	30410.338
1143	30416.887
1144	30136.146
1145	30318.24
1146	29984.771
1147	30699.23
1148	30467.55
1149	30343.697
1150	30500.666
1151	30704.818
1152	30401.371
1153	30335.777
1154	30975.355
1155	30993.959
1156	30473.723
1157	30293.803
1158	30592.55
1159	30618.453
1160	30549.994
1161	30584.312
1162	30497.746
1163	30152.207
1164	30344.027
1165	30489.213
1166	30039.691
1167	30063.88
1168	30372.531
1169	29943.965
1170	30542.312
1171	30998.328
1172	30602.098
1173	30525.807
1174	30519.13
1175	29692.512
1176	30226.23
1177	30320.25
1178	29982.88
1179	30335.496
1180	30260.012
1181	30533.656
1182	30524.379
1183	29655.312
1184	30866.4
1185	30283.266
1186	30482.41
1187	30546.973
1188	29779.098
1189	30617.41
1190	30799.89
1191	30071.771
1192	30439.11
1193	29574.693
1194	30378.469
1195	30069.35
1196	30529.85
1197	30874.756
1198	30667.145
1199	30704.004
1200	30217.447
1201	30587.494
1202	29627.238
