	z_coordinate_0	z_coordinate_1
100	-6.509639	-0.38876984
101	-6.583854	-0.18530387
102	-6.0211143	0.007773824
103	-6.7341027	-0.10950517
104	-4.83208	0.083934166
105	-5.86246	0.39078635
106	-7.2384644	-2.5327885
107	-5.103164	0.48161665
108	-4.0271616	2.4969213
109	-5.5794177	0.14337131
110	-5.7010803	0.6217138
111	-6.066481	0.63156015
112	-4.80487	1.0680841
113	-6.1118355	-0.15268052
114	-6.3343983	-1.045008
115	-7.768544	-1.3616971
116	-5.573084	0.4985735
117	-6.016567	0.07520149
118	-5.9136076	0.14537409
119	-5.9217424	0.26173088
120	-5.357833	0.29033336
121	-5.6119328	0.7310752
122	-7.2710476	-0.38008085
123	-5.3800564	0.7988661
124	-6.7539225	-0.133616
125	-6.1449947	0.17546383
126	-6.3320203	0.09370241
127	-6.736592	0.28290525
128	-6.191234	-0.13650423
129	-5.0272794	0.30357513
130	-6.866988	0.009542771
131	-4.8510423	0.8210258
132	-5.1976433	0.39206252
133	-6.6204653	-0.7921488
134	-7.116905	-1.4943212
135	-5.336997	0.33451262
136	-4.85254	0.0574976
137	-4.512329	-0.42745313
138	-7.15213	-0.8280082
139	-6.5744596	-0.047765605
140	-6.0091906	-0.48029652
141	-5.1413927	0.46090764
142	-6.7226048	-0.2537484
143	-5.3987584	-0.098724894
144	-7.0866623	-0.8845169
145	-5.537217	0.07878522
146	-5.6922646	0.03286407
147	-5.561375	0.5867148
148	-7.0906143	-0.38493767
149	-4.4974732	-0.6775539
150	-4.741019	1.3817356
151	-6.5510945	-0.17098168
152	-6.164351	-0.11293312
153	-5.879442	0.25490126
154	-7.5813074	-1.1279579
155	-5.83418	-0.2514789
156	-6.7333074	0.06477774
157	-4.0971484	2.5510309
158	-4.984115	0.5563641
159	-7.1256123	-0.6255025
160	-5.316662	-0.7147882
161	-5.757477	1.2720586
162	-5.4555454	0.66347677
163	-6.08829	0.42396218
164	-6.3819222	-1.2053779
165	-6.4507103	0.088589825
166	-5.9908047	0.87154084
167	-5.683304	0.46481404
168	-7.1428366	-1.319843
169	-5.48796	0.43587995
170	-6.3890686	-0.04114317
171	-7.4034095	-0.9300298
172	-5.68211	-0.11601301
173	-5.391505	0.79565567
174	-6.7812314	-0.6056649
175	-6.121602	-0.7778762
176	-6.9410963	-0.80424017
177	-6.15841	-0.05814924
178	-5.9665833	0.27887538
179	-3.1095068	5.103806
180	-6.9479446	-0.5508091
181	-5.719268	-0.27310196
182	-5.2392807	1.1255845
183	-6.070458	0.2545488
184	-6.5022798	-0.20274976
185	-7.185741	-0.6441934
186	-5.386442	0.83905274
187	-6.365717	-0.024076901
188	-6.4581194	-0.5127364
189	-7.7253933	-2.6801925
190	-6.119331	-0.59018546
191	-7.010007	-0.49869433
192	-6.039545	-0.29823804
193	-6.094754	0.18969038
194	-6.770138	-0.6387884
195	-6.7613406	-0.7716396
196	-5.739211	0.54818666
197	-6.0337353	0.24449572
198	-5.942936	0.027000763
199	-6.570867	0.35415375
200	-5.7590103	0.080346264
201	-6.775058	-0.36543682
202	-4.6374454	1.3381157
203	-7.3276033	-1.2738106
204	-5.7259455	0.65340704
205	-5.4494405	0.16415676
206	-6.016301	-0.35057476
207	-6.759485	-0.55350375
208	-5.790579	-0.13985008
209	-6.4938498	-0.38202623
210	-5.638468	-0.24742773
211	-5.6182084	0.09134779
212	-6.6844683	-0.30836594
213	-7.142515	-1.015097
214	-5.3937926	1.8092015
215	-5.3147597	0.295589
216	-7.5029345	-0.9484857
217	-7.167104	-1.4138123
218	-5.145628	-0.28446585
219	-6.112566	-0.08071681
220	-6.954012	-0.5293755
221	-4.8652687	1.0012479
222	-5.6285057	0.41260722
223	-6.747592	-0.6833275
224	-5.8351183	0.25693983
225	-5.7622786	0.297434
226	-5.1532917	1.3829647
227	-7.247285	-0.8736177
228	-6.4839287	0.2377195
229	-5.614093	-0.29878402
230	-6.5785847	-0.13317001
231	-5.5659003	-0.31044385
232	-6.706298	-0.39120755
233	-5.129571	0.5739992
234	-5.139531	0.28246352
235	-6.3068495	-0.292788
236	-5.2551203	-0.43713185
237	-6.346608	-0.23883602
238	-5.742243	0.23147503
239	-7.062809	0.01163248
240	-6.829037	-0.15747094
241	-6.0714436	-0.20253038
242	-6.7634625	-0.42617008
243	-5.5719805	0.68906295
244	-5.1055527	-0.054666422
245	-4.080632	3.4578676
246	-5.326609	0.83484083
247	-5.9902143	-0.2914803
248	-5.8118	0.1288344
249	-5.844189	0.9445625
250	-5.7809362	0.32373554
251	-6.1057053	0.17668757
252	-7.280806	-1.1746347
253	-7.383457	-0.9136111
254	-6.593257	-1.0013205
255	-5.179903	-0.30677792
256	-6.897279	-1.6923442
257	-6.359642	0.0258132
258	-6.6907816	-0.78632
259	-4.9673815	1.9749297
260	-6.9392843	-0.12926877
261	-6.046424	0.4854394
262	-6.5504045	-2.281301
263	-5.6006775	0.16415957
264	-4.9984827	1.5912662
265	-6.7025204	-0.65870404
266	-6.780244	-0.12310641
267	-7.151863	-0.8394435
268	-5.6926155	-1.1650134
269	-6.52643	-0.70795465
270	-5.3760557	-1.1084183
271	-6.8774433	-0.61393857
272	-5.9576135	0.21324787
273	-6.21143	-0.7186878
274	-7.762021	-1.55546
275	-6.155116	0.5758021
276	-6.005702	1.2540845
277	-6.130686	0.03646449
278	-7.629836	-1.2609117
279	-7.709091	-1.5986509
280	-6.4517417	-0.24785429
281	-6.4987	-0.33312115
282	-6.7287416	-0.7068045
283	-6.742531	-0.4076564
284	-6.1796494	0.23563558
285	-6.617357	-0.5661606
286	-4.799002	-0.032990627
287	-6.8481054	-1.329644
288	-5.7486267	0.48572075
289	-6.913766	-0.0535511
290	-6.5450697	0.04738132
291	-6.468975	-1.0212966
292	-6.637291	-0.39109847
293	-7.302859	-1.788966
294	-7.0176067	-0.77622646
295	-7.153987	-0.66245174
296	-6.609807	-0.2608278
297	-7.3465686	-1.0245774
298	-7.0397177	-0.76846457
299	-6.698518	-0.20567158
300	-7.7701845	-1.1922061
301	-6.5870285	-1.3998885
302	-6.6329503	-0.43844542
303	-6.224333	-0.084235035
304	-5.9383783	0.19854406
305	-6.4120703	0.022876836
306	-6.791487	-0.6253975
307	-6.3892603	-0.19781044
308	-5.944023	0.10731164
309	-6.9425263	-0.83057886
310	-5.6173472	0.5748542
311	-5.805809	0.31474707
312	-5.702369	0.25338092
313	-7.2656956	-0.7266539
314	-7.097711	-1.1961367
315	-5.598021	-0.648832
316	-6.2896338	-0.082291655
317	-5.9115314	0.12784228
318	-7.515091	-1.7971649
319	-5.655877	0.12853572
320	-7.5722656	-1.1519842
321	-6.793297	-0.3970351
322	-6.990142	-1.1839715
323	-6.8166122	-0.76115596
324	-6.7461834	-0.35462067
325	-5.203457	0.5264491
326	-6.6109676	-0.08983409
327	-5.4952946	0.6547155
328	-7.4713836	-0.6403588
329	-6.2969904	-1.4582326
330	-5.5723476	-0.37916628
331	-5.0094028	1.9423221
332	-6.256728	-0.8739214
333	-6.6733365	-0.2751744
334	-7.2197495	-0.8612302
335	-5.2791877	0.57590425
336	-7.7609797	-1.8227049
337	-7.0590787	-0.9541864
338	-6.5180073	-0.76946414
339	-5.9771023	-0.017500006
340	-6.798317	-1.200119
341	-6.065212	-0.5186265
342	-4.416838	1.0625631
343	-5.5109587	0.07378755
344	-5.167118	0.7385635
345	-5.3311453	0.15419087
346	-7.824315	-2.0388417
347	-6.9532385	-0.84923846
348	-5.5529785	0.63892967
349	-5.9862185	-0.1789383
350	-5.362149	-0.81263953
351	-6.273556	-0.9694907
352	-5.7549124	-0.41376087
353	-3.2947605	-5.3133173
354	-5.4785833	-0.18534023
355	-5.833336	-0.26410025
356	-6.0109596	0.18532494
357	-6.691167	-0.54748046
358	-5.0086393	-0.09488075
359	-6.6080103	-0.88198656
360	-6.9648876	-0.3776047
361	-6.8585844	-0.44757077
362	-5.8932776	0.8054859
363	-5.880007	0.29442722
364	-5.365676	1.274097
365	-6.5099087	-0.095896415
366	-6.7721896	-0.58211356
367	-4.666938	0.95814633
368	-5.966217	-0.12883297
369	-7.10166	-0.72737515
370	-6.367697	-0.18939182
371	-7.2337966	-1.1834772
372	-6.160427	-0.5028891
373	-6.0459633	-0.33893293
374	-5.0571847	-1.5619097
375	-5.394703	0.7031407
376	-6.5641174	-0.7523429
377	-5.3242416	-0.5999873
378	-6.107051	-0.097750716
379	-5.715806	-0.09106254
380	-6.945097	-0.5976436
381	-5.8735676	0.56133664
382	-6.409456	-0.21512038
383	-6.7403374	-0.9012235
384	-7.1124873	-0.62375015
